d.nom_localidade_fam;total;fora_escola;ch03_pct
JARDIM SANTA ESMERALDA;161;1;0.006211180124223602
CHACARA REYMAR;38;1;0.02631578947368421
JARDIM SANTIAGO;117;1;0.008547008547008548
PARQUE HORTOLANDIA;8;1;0.125
JARDIM SANTA CLARA DO LAGO I;37;1;0.02702702702702703
JARDIM SUMAREZINHO;177;1;0.005649717514124294
JARDIM SANTA CANDIDA;21;1;0.047619047619047616
JARDIM BRASIL;132;1;0.007575757575757576
AMANDA;5;1;0.2
NUCLEO SANTA IZABEL;22;0;0.0
MIRANTE DE SUMARE;1;0;0.0
NVO ANGULO;2;0;0.0
LOTEAMENTO RECANTO DO SOL;49;0;0.0
ORESTE ONGARO;3;0;0.0
PAQUE PERON;2;0;0.0
LOTEAMENTO REMANSO CAMPINEIRO;8;0;0.0
NOVO ANGULO;219;0;0.0
NUCLEO RESIDENCIAL FURLA;1;0;0.0
NUCLEO SANTA ISABEL;2;0;0.0
MONTE SINAI;52;0;0.0
NUCLEO RESIDENCIAL FURLAN;13;0;0.0
NOSSA SENHORA DE FATIMA;1;0;0.0
NUC RES FURLAN;3;0;0.0
NOVA ESTRELA;1;0;0.0
NOVO HORTOLANDIA;1;0;0.0
NOVO HORIZONTE;5;0;0.0
NOVO ESTRELA;1;0;0.0
NOVA ESTRELA II;2;0;0.0
NOVA EUROPA;11;0;0.0
NOVO CAMBUI;2;0;0.0
JRDIM INTERLAGOS;1;0;0.0
LOTEAMENTO NOVO ANGULO;13;0;0.0
JD AMANDA 2;1;0;0.0
JARSIM NOVA EUROPA;1;0;0.0
JARIM NOVA HORTOLANDIA;3;0;0.0
JARIDM NOVA EUROPA;2;0;0.0
JARIDIM FIRENZE;1;0;0.0
JARDM NOSSA SENHORA AUXILIADORA;1;0;0.0
JARDM CAMPOS VERDES;1;0;0.0
JARDIN NOVO ANGULO;1;0;0.0
JARDIMBOA ESPERANCA;1;0;0.0
JARDIM VILLAGIO GHIRALDELLI;24;0;0.0
JARDIM VILLAGIO;1;0;0.0
JARDIM VILA VERDE;3;0;0.0
JARDIM VILA REAL;2;0;0.0
JARDIM VILA DA CONQUISTA;2;0;0.0
JARDIM VIAGEM;1;0;0.0
JARDIM VALLAGIO GHIRALDELLI;1;0;0.0
JARDIM TERRAS DE SANTO ANTONIO;93;0;0.0
JARDIM STELLA;5;0;0.0
JARDIM SO CAMILO;1;0;0.0
JARDIM SAO SEBESTIAO;3;0;0.0
JD AMANDA;8;0;0.0
JD AUXILIADORA;2;0;0.0
LOTEAMENTO NOVO ALVORADA;2;0;0.0
JD DO LAGO;1;0;0.0
LOTEAMENTO JARDIM PRIMAVERA;4;0;0.0
LOTEAMENTO JARDIM DAS FLORES;10;0;0.0
LOTEAMENTO ADVENTISTA CAMPINEIRO;13;0;0.0
LOTEAMENTE NOVA ALVORADA;1;0;0.0
JRDIM SAO SEBASTIAO;1;0;0.0
JRDIM NOVA HORTOLANDIA;1;0;0.0
JD VILA VERDE;1;0;0.0
JD SAO BENTO;3;0;0.0
JD SANTA EMILIA;1;0;0.0
JD S RITA DE CASSIA;1;0;0.0
JD PRIMAVERA;1;0;0.0
JD NOVO HORIZONTE;3;0;0.0
JD NOVO ANGULO;3;0;0.0
JD NOVA AMERICA;6;0;0.0
JD NOSSA SENHORA DE FATIMA;2;0;0.0
JD MINDA;1;0;0.0
JD MALTA;2;0;0.0
JD INTERLAGOS;1;0;0.0
JD GIRASSOL;1;0;0.0
PARAISO NOVO ANGULO;1;0;0.0
ADIVENTISTA CAMPINEIRO;1;0;0.0
PARQUE BELLAVILLE;6;0;0.0
TERRA DE SANTA MARIA;1;0;0.0
SUMAREZINHO;4;0;0.0
SELECIONE;2;0;0.0
SAO SEBASTIAO;13;0;0.0
SAO SABASTIAO;1;0;0.0
SAO MIGUEL;2;0;0.0
SAO JORGE;3;0;0.0
SAO CAMILO;2;0;0.0
SAO BENTO 1;1;0;0.0
SAO BENTO;1;0;0.0
SANTA RITA DE CASSIA;7;0;0.0
SANTA ISABEL;1;0;0.0
SANTA FE;1;0;0.0
SANTA ESMERALDA;16;0;0.0
SANTA EMILIA;36;0;0.0
SANTA CLARA DO LAGO II;2;0;0.0
SANTA CLARA DO LAGO;2;0;0.0
SANTA CLARA;4;0;0.0
SANTA AMELIA;1;0;0.0
RIO MISSISSIPI;2;0;0.0
TAQUARA BRANCA;3;0;0.0
TERRAS DE SANTA MARIA;1;0;0.0
RESIDENCIAL VECCON BURITI;5;0;0.0
VIA INEMA;1;0;0.0
VL AMERICA;1;0;0.0
VILLA FLORA;2;0;0.0
VILE REAL CONTINUACAO;1;0;0.0
VILAREAL;2;0;0.0
VILAGIO GHIRALDELLI;3;0;0.0
VILA SAO FRANCISCO DE ASSIS;2;0;0.0
VILA SAO FRANCISCO;37;0;0.0
VILA SAO FRACISCO;1;0;0.0
VILA REALCONTINUACAO;2;0;0.0
VILA REAL CONTINUCAO;1;0;0.0
VILA REAL CONTINUAO;1;0;0.0
VILA REAL CONINUACAO;1;0;0.0
VILA REA CONTINUACAO;1;0;0.0
VILA IPE;4;0;0.0
VILA GUEDES;71;0;0.0
VILA DA CONQUISTA;61;0;0.0
VILA AMERICA;29;0;0.0
VIL A SAO PEDRO;2;0;0.0
VIA REAL;1;0;0.0
RESIDENCIAL VECON BURITI;2;0;0.0
RESIDENCIAL RECANTO DE SOL;7;0;0.0
PARQUE DOS PINHEIROS;97;0;0.0
PARQUE VASCONCELLOS;4;0;0.0
PARQUE TERRAS SANTA MARIA;1;0;0.0
PARQUE TERRAS DE SNTA MARIA;1;0;0.0
PARQUE TERRAS DE SANTA MARIA;42;0;0.0
PARQUE TERRA SANTA MARIA;5;0;0.0
PARQUE TERRA DE SANTA MARIA;20;0;0.0
PARQUE SAO MIGUEL;43;0;0.0
PARQUE SAO GABRIEL;3;0;0.0
PARQUE SANTA MARIA;1;0;0.0
PARQUE RESIDENCIAL MARIA DE LOURDES;24;0;0.0
PARQUE RESIDENCIAL JOAO LUIZ;15;0;0.0
JARDIM SAO SABASTIAO;2;0;0.0
PARQUE ORESTES ONGRO;3;0;0.0
PARQUE OLIVIO FRANCESCHINI;1;0;0.0
PARQUE ODIMAR;20;0;0.0
PARQUE NOVO HORIZONTE;1;0;0.0
PARQUE MARIA DE LOURDES;27;0;0.0
PARQUE MARI DE LOURDES;1;0;0.0
PARQUE HORIZONTE;5;0;0.0
PARQUE GARIEL;1;0;0.0
PARQUE TERRRAS DE SANTA MARIA;1;0;0.0
PARQUE VASCONCELOS;1;0;0.0
RESIDENCIAL PARQUE NOVO ANGULO;7;0;0.0
PQ DO HORTO;1;0;0.0
RESIDENCIAL NOVO ESTRELA;1;0;0.0
RESIDENCIAL MARIA DE LOURDES;6;0;0.0
RESIDENCIAL JOAO LUIZ;25;0;0.0
RESIDENCIAL JOAO LUIS;2;0;0.0
RESIDENCIAL FURLAN;26;0;0.0
RESIDENCIAL EUROPA;6;0;0.0
RESIDENCIAL BELLAVILLE;2;0;0.0
RESIDENCIAL BELLA VILLE;6;0;0.0
RESIDENCIA JOAO LUIZ;1;0;0.0
RES FURLAN;2;0;0.0
RES EUROPA;1;0;0.0
RES ANAUA;2;0;0.0
REMANSO CAMPINEIRO;145;0;0.0
REMANSO;1;0;0.0
RECREIO ALVORADA;1;0;0.0
RECANTO DO SOL;63;0;0.0
RECANTO DA SOL;1;0;0.0
PQRQUE ORESTES ONGARO;1;0;0.0
PQ PINHEIROS;1;0;0.0
PARQUE PERON;73;0;0.0
JARDIM SANTA FE;97;0;0.0
JARDIM SAO PEDRO;50;0;0.0
JARDIM BOA ESPERNCA;1;0;0.0
JARDIM BOA ESPERANA;7;0;0.0
JARDIM BOA ESPERACA;1;0;0.0
JARDIM BELLAVILLE;1;0;0.0
JARDIM BELA VISTA;5;0;0.0
JARDIM AUXILIADORA;54;0;0.0
JARDIM AUXILADORA;1;0;0.0
JARDIM AMNDA II;1;0;0.0
JARDIM AMNADA I;1;0;0.0
JARDIM AMNAD I;1;0;0.0
JARDIM AMANDA1;1;0;0.0
JARDIM AMANDA I;160;0;0.0
JARDIM AMANDA 01;1;0;0.0
JARDIM ALINE;80;0;0.0
JARDIM ADVENTISTA CAMPINEIRO;1;0;0.0
JARDIIM AMANDA;1;0;0.0
JARDI ESTEFANIA;1;0;0.0
JARDI AMANDA;3;0;0.0
JARDDIM AMANDA;1;0;0.0
JADIM NOVO ANGULO;1;0;0.0
JARDIM BOA ESPERENCA;2;0;0.0
JARDIM BOA ESPRENCA;1;0;0.0
GLEBA 1A2D1C;1;0;0.0
JARDIM BOA VISTA;25;0;0.0
JARDIM DAS PAINEIRAS;9;0;0.0
JARDIM DAS LARANJEIRAS;14;0;0.0
JARDIM DAS LARANEJIRAS;1;0;0.0
JARDIM DAS FLORES;49;0;0.0
JARDIM DAS FIQUEIRAS II;1;0;0.0
JARDIM DAS FIGUIERAS II;2;0;0.0
JARDIM DAS FIGUEIRAS I;17;0;0.0
JARDIM DAS FIGUEIRAS 2;12;0;0.0
JARDIM DAS FIGUEIRAS 1;8;0;0.0
JARDIM DA FIGUEIRAS II;1;0;0.0
JARDIM DA FIGUEIRAS 2;1;0;0.0
JARDIM DA FIGUEIRA 2;1;0;0.0
JARDIM COLINAS;2;0;0.0
JARDIM COINCEICAO;1;0;0.0
JARDIM CARMER CRISTINA;3;0;0.0
JARDIM CARMEN CRISTINA;18;0;0.0
JARDIM CARMEM CRSITINA;1;0;0.0
JARDIM CARMEM;1;0;0.0
JARDIM CAMPOS VERDE;3;0;0.0
JAADVENTISTA CAMPINEIRO;1;0;0.0
FURLAN;3;0;0.0
JARDIM DO BRAZ;9;0;0.0
CHACARA PLANALTO;15;0;0.0
CHACARA NOVA BOA VISTA;10;0;0.0
CHACARA LUZITANA;8;0;0.0
CHACARA JARDIM BOA VISTA;1;0;0.0
CHACARA HAVAI;5;0;0.0
CHACARA GROTA AZUL;3;0;0.0
CHACARA FAZENDAS COELHO;1;0;0.0
CHACARA FAZENDA COELHO;33;0;0.0
CHACARA BOA VISTA;1;0;0.0
CHACARA ASSAY;21;0;0.0
CHACARA ALVORADA;1;0;0.0
CHACARA ACARAI;1;0;0.0
CARMEN CRISTINA;1;0;0.0
CAMPOS VERDES;2;0;0.0
CAHCARA NOVA BOA VISTA;1;0;0.0
BOA ESPERANCA;2;0;0.0
BELLA VILLE HORTOLANDIA;1;0;0.0
BELLA VILE;2;0;0.0
AMANDA 1;2;0;0.0
ADVENTISTA CAMPINEIRO;40;0;0.0
CHACARA NOVA VISTA;1;0;0.0
CHACARA RECREIO 2000;5;0;0.0
FIGUEIRAS I;1;0;0.0
CHACARA RECREIO ALVORADA;14;0;0.0
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;18;0;0.0
CONDOMINIO RESIDENCIAL VILA FLORA;4;0;0.0
COLEGIO ADVENTISTA CAMPINEIRO;1;0;0.0
CHACARAS REYMAR;5;0;0.0
CHACARAS RECREIO ALVORADA;1;0;0.0
CHACARAS RECREIO 2000;2;0;0.0
CHACARAS PLANALTO;4;0;0.0
CHACARAS NOVA BOA VISTA;2;0;0.0
CHACARAS LUZITANA;8;0;0.0
CHACARAS HAVAI;3;0;0.0
CHACARAS GROTA AZUL;1;0;0.0
CHACARAS FAZENDO COELHO;5;0;0.0
CHACARAS FAZENDA COELHO;23;0;0.0
CHACARAS DE RECREIO 2000;1;0;0.0
CHACARAS ASSAY;15;0;0.0
CHACARAS ASSAHY;2;0;0.0
CHACARAS ACARAY;1;0;0.0
CHACARAS ACARAI;14;0;0.0
CHACARA RECREIO DOIS MIL;2;0;0.0
JARDIM DO BRAS;7;0;0.0
JARDIM DO LAGO;52;0;0.0
JARDIM SAO MIGUEL;2;0;0.0
JARDIM SANTA CLAR DO LAGO;1;0;0.0
JARDIM SANT CLARA DO LAGO I;2;0;0.0
JARDIM SANT ACLARA DO LAGO;1;0;0.0
JARDIM ROSOLEN;44;0;0.0
JARDIM ROSOLEM;18;0;0.0
JARDIM RICARDO;27;0;0.0
JARDIM RESIDENCIAL VECCON BURITI;7;0;0.0
JARDIM RESIDENCIAL VECCON;1;0;0.0
JARDIM RESIDENCIAL FIRENZE;23;0;0.0
JARDIM RESIDENCIAL BURITI;4;0;0.0
JARDIM RES;1;0;0.0
JARDIM REMANSO CAMPINEIRO;3;0;0.0
JARDIM RECANTO DO SOL;2;0;0.0
JARDIM PRIMAVIRA;1;0;0.0
JARDIM PRI;1;0;0.0
JARDIM PAULISTINHA;1;0;0.0
JARDIM PAINEIRAS;1;0;0.0
JARDIM NOVO HORIZONTE;79;0;0.0
JARDIM NOVO ESTRELA III;2;0;0.0
JARDIM NOVO ESTRELA II;17;0;0.0
JARDIM SANTA AMELIA;19;0;0.0
JARDIM SANTA CLARA;5;0;0.0
JARDIM NOVO AANGULO;1;0;0.0
JARDIM SANTA CLARA DO LADO CONTINUACAO;1;0;0.0
JARDIM SAO JOSE;1;0;0.0
JARDIM SAO FRANCISCO;1;0;0.0
JARDIM SAO FELIPE;22;0;0.0
JARDIM SAO CAMILO;55;0;0.0
JARDIM SAO BENTO;164;0;0.0
JARDIM SAO BENEDITO;9;0;0.0
JARDIM SANTO ANTONIO;8;0;0.0
JARDIM SANTO ANDRE;8;0;0.0
JARDIM SANTANA;57;0;0.0
JARDIM SANTA RITA DOS PINHEIROS;2;0;0.0
JARDIM SANTA RITA;2;0;0.0
JARDIM SANTA LUZIA;26;0;0.0
JARDIM SANTA IZABEL;78;0;0.0
ADVENTISTA CAMP;2;0;0.0
JARDIM SANTA EMILIA;30;0;0.0
JARDIM SANTA CLARA II;1;0;0.0
JARDIM SANTA CLARA DO LAGO II;24;0;0.0
JARDIM SANTA CLARA DO LAGO CONTINUACAO;4;0;0.0
JARDIM SANTA CLARA DO LAGO 2;6;0;0.0
JARDIM NOVO E;1;0;0.0
JARDIM NOVA NOVA HORTOLANDIA;1;0;0.0
JARDIM DO MALTA;1;0;0.0
JARDIM LARANJEIRAS;16;0;0.0
JARDIM INTERLAGOS;143;0;0.0
JARDIM INTERLADOS;1;0;0.0
JARDIM INERLAGOS;1;0;0.0
JARDIM IMINDA;1;0;0.0
JARDIM GREEN PARK RESIDENCE;1;0;0.0
JARDIM GOLDEN PARK RESIDENCE;3;0;0.0
JARDIM GIRASSOL;15;0;0.0
JARDIM GIRASOL;1;0;0.0
JARDIM GHIRALDELLI;17;0;0.0
JARDIM FIRENZE;8;0;0.0
JARDIM FIGUEIRAS II;1;0;0.0
JARDIM FIGUEIRAS I;4;0;0.0
JARDIM FIGUEIRAS 2;2;0;0.0
JARDIM FIGUEIRAS 1;3;0;0.0
JARDIM FIGUEIRA II;1;0;0.0
JARDIM FIGUEIRA 1;1;0;0.0
JARDIM EVERST;1;0;0.0
JARDIM EVERESTE;1;0;0.0
JARDIM ESTEFANIA;22;0;0.0
JARDIM LARANJEIRA;2;0;0.0
JARDIM MALTA;56;0;0.0
JARDIM NOVA HORTOLANDIA II;21;0;0.0
JARDIM MIRANTE;12;0;0.0
JARDIM NOVA HORTOLANDIA I;31;0;0.0
JARDIM NOVA HOORTOLANDIA;1;0;0.0
JARDIM NOVA EUROP A;1;0;0.0
JARDIM NOVA ESTRELA II;6;0;0.0
JARDIM NOVA ESTRELA;16;0;0.0
JARDIM NOVA ESTELA;2;0;0.0
JARDIM NOVA ALVORADA;39;0;0.0
JARDIM NOV0 HORIZONTE;1;0;0.0
JARDIM NOSSA SENHORA DE LOURDES;8;0;0.0
JARDIM NOSSA SENHORA DE FATIMA;196;0;0.0
JARDIM NOSSA SENHORA AUXLIADORA;1;0;0.0
JARDIM NOSSA SENHORA AUXIADORA;3;0;0.0
JARDIM NOSSA SENHOR AUXILIADORA;2;0;0.0
JARDIM NOSSA AUXILIADORA;5;0;0.0
JARDIM NONA EUROPA;3;0;0.0
JARDIM NIOVA HORTOLANDIA;2;0;0.0
JARDIM MONTE SINAI;173;0;0.0
JARDIM MIRANTE SUMARE;2;0;0.0
JARDIM MIRANTE DE SUMARE;46;0;0.0
VL DA CONQUISTA;1;0;0.0
